Gene                 P-adj               
"sdt-PH"             7.8090702261574e-06 
"osa-PE"             1.39763218766855e-06
"Pxt-PB"             3.74074586947708e-08
"CG42807-PA"         1.46034755687066e-05
"CG42807-PB"         1.46034755687066e-05
"CG42854-PA"         1.16151879511022e-07
"CG9932-PA"          1.32138081612404e-25
"Tl-PC"              3.22748733354087e-10
"CG43074-PA"         4.72264438962639e-05
"CG43078-PI"         2.38911123141722e-05
"nsl1-PE"            0.00989142159438865 
"nsl1-PP"            0.00989142159438865 
"wcd-PA"             0.00676765821742525 
"Ect4-PG"            0.000788979608702994
"mtsh-PD"            0.000570636019075359
"CG43134-PB"         2.17319278594653e-16
"CG43134-PA"         2.17319278594653e-16
"Myc-PB"             0.00355985448360774 
"Myc-PA"             0.00355985448360774 
"milt-PE"            0.00990676250937577 
"CG43343-PB"         0.00953130057086838 
"Dscam4-PI"          0.00018764736432035 
"Dscam4-PJ"          0.00018764736432035 
"scrib-PJ"           0.00599109371451454 
"scrib-PM"           0.00166270108496326 
"Gp150-PD"           0.000174670715583028
"CG4554-PA"          5.31013785392148e-05
"px-PA"              0.000942471739060791
"YME1L-PC"           1.38376973250952e-06
"CycB-PA"            4.59327991592415e-07
"CycB-PE"            3.64220719812584e-05
"jbug-PN"            0.00215416201127311 
"Cyp6d2-PA"          0.000264625296154352
"Fib-PA"             0.000588234564468346
"CG9897-PA"          7.28050458694832e-05
"CG32834-PB"         0.0039241580007348  
"CG13540-PB"         0.00959183037866481 
"yellow-d-PA"        0.00143973608571133 
"RpL22-like-PA"      5.80103888178495e-06
"apt-PD"             0.000130724508825018
"apt-PC"             0.000130724508825018
"apt-PA"             0.000130724508825018
"retn-PB"            0.000137216504715041
"Nap1-PA"            0.00134141114497911 
"Nap1-PB"            0.00134141114497911 
"Nap1-PC"            0.00134141114497911 
"betaTub60D-PA"      8.57243845622084e-05
"betaTub60D-PB"      6.10209125154625e-05
"CG13577-PB"         0.00107630277414348 
"Cyp9c1-PA"          0.0013430616775034  
"CG4806-PA"          0.00726042636831083 
"Nurf-38-PA"         0.00419437049501054 
"CG3594-PA"          0.00961466364598305 
"emp-PC"             0.00222420276646898 
"emp-PA"             0.00222420276646898 
"emp-PD"             0.00222420276646898 
"Lsp1gamma-PA"       0.00892867156690899 
"Dis3l2-PC"          1.75920396803138e-07
"Tudor-SN-PA"        2.43553180011684e-06
"Tudor-SN-PB"        2.43553180011684e-06
"CG13893-PA"         4.02697599320214e-06
"CG32344-PA"         0.000698372798118543
"CG13905-PB"         9.93889616831682e-06
"CG9119-PA"          0.00445950834326297 
"nclb-PA"            0.000363954144704487
"lost-PA"            6.07780633869551e-08
"Ack-like-PE"        0.0020637631106734  
"sli-PF"             0.00642329762387438 
"Send2-PA"           0.000491763079559601
"CG43897-PQ"         0.00120610295450678 
"rdx-PC"             0.00226762616394269 
"CaMKII-PK"          0.00493919314065116 
"Mhc-PR"             0.00638528572424076 
"Mhc-PI"             3.08623354287575e-24
"Mhc-PT"             1.06923634523378e-05
"Mhc-PE"             0.00127521899412248 
"CG44085-PO"         5.50877641263474e-09
"Piezo-PJ"           0.000657894452513251
"l(3)neo38-PL"       1.16077085677231e-05
"zip-PC"             0.00270820076919146 
"zip-PD"             0.000282838898964854
"zip-PE"             0.00270820076919146 
"zip-PG"             0.00270820076919146 
"mbl-PA"             0.000594400843286034
"yin-PA"             2.40716608998863e-07
"yin-PB"             0.000328563308974724
"sno-PA"             0.00712307878704596 
"Nna1-PJ"            0.000740332476085306
"CngB-PA"            0.00082630706257991 
"CTPsyn-PA"          0.00229988904203112 
"CTPsyn-PC"          0.00229988904203112 
"CG2982-PB"          0.0045177098890565  
"CG2982-PC"          0.0045177098890565  
"Hsc70-4-PE"         2.71984835353912e-05
"Hsc70-4-PF"         2.71984835353912e-05
"Hsc70-4-PA"         2.71984835353912e-05
"Hsc70-4-PC"         2.71984835353912e-05
"Hsc70-4-PD"         2.71984835353912e-05
"Hsc70-4-PB"         2.71984835353912e-05
"Hsc70-4-PG"         2.71984835353912e-05
"Svil-PG"            0.00558595025907702 
"Svil-PAE"           1.31303593114649e-07
"Bruce-PD"           0.00035772873346948 
"Esyt2-PB"           0.00683717637883996 
"Frl-PC"             1.82742194097723e-07
"Tim23-PA"           0.00018764736432035 
"AsnS-PA"            1.99033235011651e-07
"und-PA"             0.00199440914310229 
"und-PB"             0.00199440914310229 
"und-PC"             0.00199440914310229 
"LIMK1-PC"           0.000197132402312743
"Top2-PA"            0.000173943867590825
"Top2-PB"            0.000173943867590825
"l(2)05287-PB"       0.000203329187919468
"LeuRS-PA"           0.00284952771126932 
"LeuRS-PB"           0.00284952771126932 
"bsf-PA"             1.95444490000585e-07
"Fas1-PA"            0.00057977357816209 
