	ERR990557	ERR990558	ERR990559	ERR990560
Pgam5-PB	0	50	58	28
Pex5-PA	29	114	49	87
Pex5-PB	137	0	44	57
CG14814-PB	438	394	126	219
CG14814-PA	29	15	43	15
CG14814-PD	29	15	43	15
deltaCOP-PA	147	185	304	0
deltaCOP-PB	175	121	0	306
CG14812-PA	10	16	8	13
CG14812-PB	10	16	8	13
CG14811-PB	0	0	2	1
CG4025-PA	9	18	22	24
Unc-76-PB	46	26	40	58
Unc-76-PA	46	26	40	58
Unc-76-PC	46	26	40	58
Unc-76-PD	1	26	31	0
csw-PA	248	190	138	232
csw-PB	73	7	27	25
csw-PC	0	51	146	125
csw-PD	0	31	0	15
D2hgdh-PB	66	86	275	168
D2hgdh-PC	66	86	275	168
D2hgdh-PA	66	86	275	168
Pgd-PA	172	192	149	170
Pgd-PB	172	192	149	170
CG3630-PA	12	10	8	12
CG3630-PB	26	0	21	32
CG3630-PC	12	10	8	12
CG3630-PD	12	10	8	12
ND-B14,5A-PA	35	64	39	49
ND-B14,5A-PB	35	64	39	49
Cyp4d2-PA	20	17	60	40
Cyp4d2-PB	20	17	60	40
Cyp4ae1-PA	22	45	55	52
pn-PA	76	50	48	70
CG17776-PA	8	6	4	6
CG17776-PB	8	6	4	6
CG17777-PB	2	0	2	0
CG17777-PC	2	0	2	0
CG3457-PA	36	76	9	8
CG3457-PB	36	76	9	8
Mct1-PA	31	47	48	57
Mct1-PB	31	47	48	57
CG14052-PB	0	0	0	3
pcx-PE	6	0	2	2
pcx-PF	246	214	305	307
pcx-PC	246	214	305	307
fs(1)K10-PA	221	205	55	123
Or2a-PA	0	2	2	0
CG3071-PA	543	593	133	261
CG2854-PA	5	2	5	18
Raf-PA	115	113	76	122
Raf-PE	115	113	76	122
CG2841-PB	30	28	65	37
CG2841-PC	30	28	65	37
CG2841-PA	30	28	65	37
CG2841-PD	30	28	65	37
CG2841-PE	30	28	65	37
CG2841-PF	0	0	1	0
mRpL14-PA	52	52	24	33
mRpL14-PB	52	52	24	33
Ilp6-PA	2	0	1	4
Ilp6-PB	2	0	1	4
Ilp6-PC	2	0	1	4
Ilp6-PD	2	0	1	4
CG14050-PA	2	1	2	2
CG14050-PB	2	1	2	2
CG2865-PA	37	31	41	33
CG2865-PB	37	31	41	33
CG2918-PA	572	592	604	700
CG2918-PB	572	592	604	700
CG2924-PA	42	44	29	41
CG2924-PE	42	44	29	41
CG2924-PB	42	44	29	41
CG2924-PD	42	44	29	41
temp-PA	15	30	9	11
temp-PB	15	30	9	11
CG3078-PA	0	0	0	0
CG3078-PB	0	0	0	0
CG3191-PA	34	33	60	71
CG3191-PC	34	33	60	71
crn-PA	533	569	226	482
kz-PA	139	156	50	92
kz-PB	139	156	50	92
Vinc-PA	29	24	60	49
Vinc-PB	29	24	60	49
Vinc-PC	29	24	60	49
FarO-PA	6	6	32	38
CG14053-PA	2	1	0	0
CG14053-PB	2	1	0	0
Nmd3-PA	882	1207	431	546
Cyp4d14-PA	11	20	16	15
Cyp4d14-PB	0	0	0	0
Cyp4d1-PB	4	4	15	13
Cyp4d1-PA	0	1	0	0
wapl-PA	84	119	47	119
wapl-PB	102	53	72	66
wapl-PC	84	119	47	119
bcn92-PA	8	8	6	8
ph-p-PA	268	266	257	293
ph-p-PB	0	0	0	0
ph-p-PC	0	0	0	0
ph-p-PD	0	0	0	0
ph-d-PA	291	249	157	279
