"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG3704-PA" 242.370450967497 -0.853880374001562 0.516868718657916 -1.65202563664274 0.0985293247850853 0.404825534674095
"CG3706-PA" 2.23166841416288 -0.288956584844679 2.40838480708389 -0.119979408603957 0.904499459667996 NA
"CG3708-PB" 1.98478539252963 0.0352047760323423 2.44280423389406 0.0144116239622782 0.988501585772788 NA
"CG3713-PA" 0.24688302163325 -1.41904814241044 4.99476698802488 -0.284106975523113 0.776328401446699 NA
"CG3713-PB" 0.24688302163325 -1.41904814241044 4.99476698802488 -0.284106975523113 0.776328401446699 NA
"CG32814-PB" 43.1678157904397 1.26185135011903 0.850498852657072 1.48366026147694 0.137899073660422 0.482803364234177
"CG11378-PA" 12.7768746152996 0.258771386957782 1.25845440709227 0.205626350465638 0.837082792658235 0.974966273630263
"CG11378-PB" 12.7768746152996 0.258771386957782 1.25845440709227 0.205626350465638 0.837082792658235 0.974966273630263
"CG11378-PC" 12.7768746152996 0.258771386957782 1.25845440709227 0.205626350465638 0.837082792658235 0.974966273630263
"CG11379-PA" 0.276981970034226 1.59049268177492 4.98023296566406 0.319361100723699 0.749452704691037 NA
"CG11379-PB" 0.276981970034226 1.59049268177492 4.98023296566406 0.319361100723699 0.749452704691037 NA
"CG14627-PA" 0 NA NA NA NA NA
"CG14627-PB" 0 NA NA NA NA NA
"CG14626-PA" 1.22152218179615 0.566220924813275 3.8212569874822 0.148176614833318 0.882203386732017 NA
"CG11380-PA" 23.929009830127 0.192107338382176 0.897818385394612 0.213971268028489 0.830569463077794 0.9731971402078
"CG11380-PB" 23.929009830127 0.192107338382176 0.897818385394612 0.213971268028489 0.830569463077794 0.9731971402078
"CG14625-PB" 5.09691792381732 -0.450666297358785 2.0890993023442 -0.21572277433298 0.829203847817391 NA
"CG11381-PA" 0 NA NA NA NA NA
"CG14624-PA" 0.464785303313718 0.00393867455285794 4.98888679108268 0.000789489663284817 0.999370078452189 NA
"CG11382-PB" 9.74780610603509 0.298521139845691 1.30152750846179 0.229362144022985 0.818587456602595 0.972507201002344
"CG11382-PC" 9.74780610603509 0.298521139845691 1.30152750846179 0.229362144022985 0.818587456602595 0.972507201002344
"CG32812-PA" 1.07034412916868 1.77106675961847 4.84922082478854 0.365227079485641 0.714941905926818 NA
"CG32812-PB" 1.07034412916868 1.77106675961847 4.84922082478854 0.365227079485641 0.714941905926818 NA
"fs(1)N-PA" 1085.36590507173 -3.24633976943332 0.409671436001759 -7.9242521790545 2.29523405512942e-15 1.62158285994894e-12
"Naa30A-PA" 329.327886923429 -0.433104230553746 0.370885497600942 -1.16775725488126 0.242904694641542 0.630097286125568
"Naa30A-PD" 4.64796845469879 1.94379743807898 2.68948833052664 0.722738751462944 0.469840402956359 NA
"Tsp2A-PA" 5.11524215429639 1.33852984671602 2.03581365065629 0.657491340764177 0.510865037025289 NA
"Tsp2A-PB" 5.11524215429639 1.33852984671602 2.03581365065629 0.657491340764177 0.510865037025289 NA
"CG11417-PA" 736.407370259794 -1.11484422995916 0.284092393190004 -3.92423118915942 8.70071504301206e-05 0.0026111384826427
"CG14770-PA" 0.74064906489975 -3.00891544499343 4.8556732464484 -0.619670083277176 0.535475015737254 NA
"ssx-PB" 44.4237762832253 0.364537780717364 1.26352665591516 0.288508183828804 0.772957766933565 0.967181530715693
"ssx-PC" 53.0221889522054 0.210978882525953 0.643201195437217 0.328013822148667 0.742901211738494 0.958647865010495
"ssx-PD" 110.437913695278 -1.0507244828538 0.877979674636784 -1.19675262788798 0.231402987503874 0.613744573144954
"ssx-PE" 44.4237762832253 0.364537780717364 1.26352665591516 0.288508183828804 0.772957766933565 0.967181530715693
"AMPKalpha-PA" 67.9550177269347 0.0567892242727224 0.568000904769531 0.0999808693892219 0.920359513349835 0.987777979324989
"AMPKalpha-PB" 67.9550177269347 0.0567892242727224 0.568000904769531 0.0999808693892219 0.920359513349835 0.987777979324989
"AMPKalpha-PC" 67.9550177269347 0.0567892242727224 0.568000904769531 0.0999808693892219 0.920359513349835 0.987777979324989
"CG32813-PD" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PB" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PL" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PM" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PN" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PH" 16.3526974217589 0.957753125026706 1.18029767650978 0.81145048752349 0.417107015569637 0.801219938853165
"CG32813-PI" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PJ" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG32813-PK" 9.39577205562603 0.806569804044828 1.36779191227677 0.589687507877017 0.555400171786494 0.889692579312709
"CG11448-PA" 51.6458202268055 1.08152453245712 0.826837848363608 1.30802494660538 0.190864848025823 0.560108058692602
"CG11448-PB" 0 NA NA NA NA NA
"CG11448-PC" 11.0256232839432 1.98921033877801 2.4481164165337 0.812547281388905 0.416477667753208 0.801151971879852
"Lrpprc2-PA" 141.215282915247 -0.698823949780587 0.43777624196391 -1.59630396260334 0.110420945824864 0.43242194894155
"CG14785-PA" 4.85087795093865 -2.01461176819828 1.87662903869789 -1.07352690737224 0.283034772644499 NA
"CG3719-PA" 40.6151011621424 0.39924422362437 0.709603452148754 0.562630046986689 0.573686827293952 0.896854227480279
"png-PA" 39.0048217973973 -0.650361687789848 0.993843405422217 -0.654390504823598 0.512860250212503 0.867091275561193
"CG12773-PA" 13.4212719583969 -0.458350187038962 1.13781183388695 -0.402834786375145 0.687069768543473 0.940500334760714
