"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG8997-PA" 69.9170287559363 3.39598612600595 0.70466277039676 4.81930686375533 1.44057833259258e-06 9.25244174524235e-05
"CG8997-PB" 69.9170287559363 3.39598612600595 0.70466277039676 4.81930686375533 1.44057833259258e-06 9.25244174524235e-05
"CG18095-PA" 32.550798756753 8.50737238363805 1.91225329469997 4.44887317345313 8.63219665425341e-06 0.000401006921834304
"CG18095-PC" 32.550798756753 8.50737238363805 1.91225329469997 4.44887317345313 8.63219665425341e-06 0.000401006921834304
"BicC-PB" 376.878756612147 -2.83465299772202 0.48616860106586 -5.83059661094406 5.52295512702832e-09 8.75207730223292e-07
"BicC-PA" 376.878756612147 -2.83465299772202 0.48616860106586 -5.83059661094406 5.52295512702832e-09 8.75207730223292e-07
"CG12288-PA" 364.454956364266 -1.63197215651309 0.344376280100364 -4.73892149609571 2.14858717889105e-06 0.000131445828632013
"CLIP-190-PA" 211.983922114272 -8.77119190595959 1.38269464115159 -6.34354950465016 2.24530775913915e-10 6.14055457483281e-08
"CLIP-190-PC" 259.614363944433 5.78928135192539 0.582540514880323 9.93798921112764 2.8451206065071e-23 6.65561809841234e-20
"CLIP-190-PV" 45.3652961337619 8.98562072986096 2.23353178449137 4.02305478357328 5.74481269011256e-05 0.00188777217003001
"Fas3-PC" 142.39025336641 2.13121328234391 0.463399628544611 4.59908284570138 4.24355014868091e-06 0.000221395804064719
"Fas3-PG" 163.168223128582 2.11112735298998 0.404771299661123 5.21560534246729 1.83217898809597e-07 1.63507510116607e-05
"CG10178-PA" 109.634930120899 2.30081791746574 0.542495827968255 4.24117163459619 2.22356015382033e-05 0.000858831115448237
"CG10178-PB" 109.634930120899 2.30081791746574 0.542495827968255 4.24117163459619 2.22356015382033e-05 0.000858831115448237
"CG10341-PA" 359.386946072893 -1.9120779939742 0.40873562186742 -4.67803120569319 2.89642474790825e-06 0.000166480603476381
"tos-PA" 252.036248372251 -1.24402789863392 0.350595679290042 -3.54832638312338 0.000387687491863874 0.00847117153613899
"ssp3-PA" 258.712564589964 -2.00690023732288 0.340295418253498 -5.89752353300235 3.68997656325308e-09 6.25672426065192e-07
